,count,keyword
procuradoria,1,False
produzida,2,False
produção,1,False
programação,5,False
programe,1,False
projeto,1,False
projetos,1,False
projeção,3,False
proporcionando,1,False
protagonistas,1,False
provavelmente,1,False
quadro,1,False
quase,2,False
radicado,1,False
raras,1,False
realidade,1,False
realizado,1,False
realizando,1,False
recuperadas,1,False
recuperação,1,False
redes,1,False
redor,2,False
reflexos,1,False
reforca,3,False
reforça,1,False
regionais,1,False
relatório,1,False
relação,1,False
releitura,1,False
renascentista,1,False
repertório,2,False
reproduzindo,1,False
resolvido,1,False
restauradas,1,False
retrospectiva,1,False
reúne,1,False
reunida,1,False
reunindo,1,False
revisitado,1,False
ribeiro,1,False
ricos,1,False
rio,1,False
roosevelt,1,False
rosas,2,False
rothschild,1,False
roubadas,3,False
roubado,1,False
roubo,1,False
sá,1,False
sacra,3,False
sala,2,False
santos,1,False
são,15,False
screen,1,False
secretário,1,False
século,3,False
sede,1,False
semana,13,False
seminário,2,False
sendo,1,False
ser,1,False
será,1,False
serão,1,False
sérgio,3,False
série,3,False
setembro,1,False
shows,1,False
sido,1,False
significativo,1,False
simbolicamente,1,False
sinfônicas,1,False
site,1,False
slams,1,False
sociais,1,False
solicitado,1,False
som,1,False
soma,1,False
sorocaba,1,False
sp,6,False
suficiente,1,False
suíço,1,False
suspeitas,1,False
também,1,False
tarsila,1,False
tatuí,2,False
teatro,7,False
técnica,1,False
tecnologia,2,False
temática,1,False
temporada,1,False
tentará,1,False
ter,2,False
terminará,1,False
terminaram,1,False
teve,1,False
theatro,2,False
tinha,1,False
tocado,2,False
totens,1,False
touch,1,False
tours,4,False
tradição,1,False
tráfico,1,False
trata,1,False
treima,1,False
turnê,1,False
tv,4,False
último,1,False
une,1,False
urbanas,1,False
vacaro,1,False
vai,3,False
vanguarda,1,False
vasta,1,False
veja,4,False
vem,1,False
vêm,1,False
veríamos,1,False
verificar,1,False
videoc,1,False
vídeos,1,False
villa,4,False
vinte,1,False
virtuais,1,False
virtual,1,False
visitado,1,False
visitantes,1,False
visitará,1,False
visitas,2,False
viu,1,False
vivo,3,False
